report_id,report_type,start_date,end_date,report_content
17,Weekly,2024-10-07,2024-10-13,"Weekly production summary: Total output 31654 liters. Quality metrics within acceptable ranges. Mean quality: 3.58, Std Dev: 0.57. Mean process: 59.64, Std Dev: 11.0. Raw milk volume: 62455 liters."
18,Monthly,2024-07-19,2024-08-17,"Monthly overview: Production increased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.54, Std Dev: 0.47. Mean process: 61.81, Std Dev: 11.54. Raw milk volume: 247819 liters."
19,Weekly,2024-07-02,2024-07-08,"Weekly production summary: Total output 35820 liters. Quality metrics within acceptable ranges. Mean quality: 3.5, Std Dev: 0.58. Mean process: 46.9, Std Dev: 10.82. Raw milk volume: 56865 liters."
20,Monthly,2024-09-05,2024-10-04,"Monthly overview: Production increased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.51, Std Dev: 0.49. Mean process: 60.46, Std Dev: 8.01. Raw milk volume: 284939 liters."
21,Weekly,2024-08-18,2024-08-24,"Weekly production summary: Total output 32803 liters. Quality metrics within acceptable ranges. Mean quality: 3.48, Std Dev: 0.52. Mean process: 67.39, Std Dev: 9.48. Raw milk volume: 67502 liters."
22,Weekly,2024-05-23,2024-05-29,"Weekly production summary: Total output 37573 liters. Quality metrics within acceptable ranges. Mean quality: 3.42, Std Dev: 0.47. Mean process: 64.58, Std Dev: 10.33. Raw milk volume: 62433 liters."
23,Monthly,2024-10-18,2024-11-16,"Monthly overview: Production increased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.45, Std Dev: 0.53. Mean process: 60.49, Std Dev: 10.97. Raw milk volume: 290198 liters."
24,Weekly,2024-09-01,2024-09-07,"Weekly production summary: Total output 35313 liters. Quality metrics within acceptable ranges. Mean quality: 3.43, Std Dev: 0.48. Mean process: 58.04, Std Dev: 8.54. Raw milk volume: 51832 liters."
25,Weekly,2024-09-28,2024-10-04,"Weekly production summary: Total output 30525 liters. Quality metrics within acceptable ranges. Mean quality: 3.53, Std Dev: 0.51. Mean process: 60.03, Std Dev: 9.77. Raw milk volume: 60336 liters."
26,Monthly,2024-06-12,2024-07-11,"Monthly overview: Production decreased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.36, Std Dev: 0.48. Mean process: 58.29, Std Dev: 9.2. Raw milk volume: 227653 liters."
27,Monthly,2024-06-02,2024-07-01,"Monthly overview: Production increased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.48, Std Dev: 0.52. Mean process: 69.43, Std Dev: 10.17. Raw milk volume: 265435 liters."
28,Monthly,2024-10-10,2024-11-08,"Monthly overview: Production increased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.53, Std Dev: 0.5. Mean process: 50.41, Std Dev: 9.97. Raw milk volume: 260142 liters."
29,Weekly,2024-06-12,2024-06-18,"Weekly production summary: Total output 32287 liters. Quality metrics within acceptable ranges. Mean quality: 3.51, Std Dev: 0.62. Mean process: 59.04, Std Dev: 10.3. Raw milk volume: 58081 liters."
30,Monthly,2024-09-14,2024-10-13,"Monthly overview: Production increased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.5, Std Dev: 0.44. Mean process: 65.71, Std Dev: 10.75. Raw milk volume: 256155 liters."
31,Monthly,2024-07-01,2024-07-30,"Monthly overview: Production decreased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.58, Std Dev: 0.45. Mean process: 67.01, Std Dev: 8.6. Raw milk volume: 218131 liters."
32,Monthly,2024-05-09,2024-06-07,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.56, Std Dev: 0.61. Mean process: 55.05, Std Dev: 9.43. Raw milk volume: 214371 liters."
33,Weekly,2024-08-21,2024-08-27,"Weekly production summary: Total output 32621 liters. Quality metrics within acceptable ranges. Mean quality: 3.51, Std Dev: 0.47. Mean process: 52.25, Std Dev: 10.07. Raw milk volume: 63833 liters."
34,Weekly,2024-07-05,2024-07-11,"Weekly production summary: Total output 36252 liters. Quality metrics within acceptable ranges. Mean quality: 3.39, Std Dev: 0.52. Mean process: 55.4, Std Dev: 11.55. Raw milk volume: 69526 liters."
35,Monthly,2024-08-02,2024-08-31,"Monthly overview: Production decreased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.42, Std Dev: 0.48. Mean process: 64.07, Std Dev: 8.77. Raw milk volume: 272512 liters."
36,Weekly,2024-09-01,2024-09-07,"Weekly production summary: Total output 31876 liters. Quality metrics within acceptable ranges. Mean quality: 3.52, Std Dev: 0.57. Mean process: 51.96, Std Dev: 10.18. Raw milk volume: 67595 liters."
37,Monthly,2024-09-18,2024-10-17,"Monthly overview: Production increased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.53, Std Dev: 0.54. Mean process: 53.82, Std Dev: 8.68. Raw milk volume: 244587 liters."
38,Weekly,2024-06-17,2024-06-23,"Weekly production summary: Total output 37123 liters. Quality metrics within acceptable ranges. Mean quality: 3.55, Std Dev: 0.51. Mean process: 61.25, Std Dev: 10.35. Raw milk volume: 55182 liters."
39,Monthly,2024-04-22,2024-05-21,"Monthly overview: Production decreased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.43, Std Dev: 0.51. Mean process: 61.47, Std Dev: 9.29. Raw milk volume: 265612 liters."
40,Weekly,2024-07-29,2024-08-04,"Weekly production summary: Total output 31743 liters. Quality metrics within acceptable ranges. Mean quality: 3.69, Std Dev: 0.52. Mean process: 54.04, Std Dev: 10.66. Raw milk volume: 59779 liters."
41,Weekly,2024-05-21,2024-05-27,"Weekly production summary: Total output 36126 liters. Quality metrics within acceptable ranges. Mean quality: 3.4, Std Dev: 0.54. Mean process: 65.79, Std Dev: 9.18. Raw milk volume: 55293 liters."
42,Weekly,2024-08-16,2024-08-22,"Weekly production summary: Total output 35310 liters. Quality metrics within acceptable ranges. Mean quality: 3.6, Std Dev: 0.52. Mean process: 64.11, Std Dev: 11.9. Raw milk volume: 66010 liters."
43,Weekly,2024-05-13,2024-05-19,"Weekly production summary: Total output 35947 liters. Quality metrics within acceptable ranges. Mean quality: 3.48, Std Dev: 0.46. Mean process: 55.55, Std Dev: 9.18. Raw milk volume: 60076 liters."
44,Weekly,2024-05-03,2024-05-09,"Weekly production summary: Total output 33946 liters. Quality metrics within acceptable ranges. Mean quality: 3.49, Std Dev: 0.52. Mean process: 61.38, Std Dev: 10.83. Raw milk volume: 68591 liters."
45,Weekly,2024-05-08,2024-05-14,"Weekly production summary: Total output 37962 liters. Quality metrics within acceptable ranges. Mean quality: 3.5, Std Dev: 0.57. Mean process: 58.68, Std Dev: 12.72. Raw milk volume: 52267 liters."
46,Weekly,2024-05-16,2024-05-22,"Weekly production summary: Total output 37787 liters. Quality metrics within acceptable ranges. Mean quality: 3.56, Std Dev: 0.46. Mean process: 54.65, Std Dev: 10.48. Raw milk volume: 68015 liters."
47,Weekly,2024-06-12,2024-06-18,"Weekly production summary: Total output 38645 liters. Quality metrics within acceptable ranges. Mean quality: 3.48, Std Dev: 0.54. Mean process: 62.37, Std Dev: 9.93. Raw milk volume: 69876 liters."
48,Monthly,2024-06-02,2024-07-01,"Monthly overview: Production increased by 3% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.42, Std Dev: 0.42. Mean process: 57.77, Std Dev: 10.86. Raw milk volume: 298994 liters."
49,Weekly,2024-09-07,2024-09-13,"Weekly production summary: Total output 35107 liters. Quality metrics within acceptable ranges. Mean quality: 3.52, Std Dev: 0.44. Mean process: 60.87, Std Dev: 10.39. Raw milk volume: 63074 liters."
50,Monthly,2024-07-16,2024-08-14,"Monthly overview: Production increased by 3% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.41, Std Dev: 0.51. Mean process: 60.29, Std Dev: 8.86. Raw milk volume: 259177 liters."
51,Weekly,2024-06-09,2024-06-15,"Weekly production summary: Total output 33681 liters. Quality metrics within acceptable ranges. Mean quality: 3.54, Std Dev: 0.53. Mean process: 65.42, Std Dev: 11.05. Raw milk volume: 52098 liters."
52,Monthly,2024-04-26,2024-05-25,"Monthly overview: Production increased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.36, Std Dev: 0.45. Mean process: 62.58, Std Dev: 10.51. Raw milk volume: 272603 liters."
53,Weekly,2024-08-14,2024-08-20,"Weekly production summary: Total output 33608 liters. Quality metrics within acceptable ranges. Mean quality: 3.55, Std Dev: 0.69. Mean process: 62.85, Std Dev: 11.14. Raw milk volume: 50235 liters."
54,Weekly,2024-09-06,2024-09-12,"Weekly production summary: Total output 30964 liters. Quality metrics within acceptable ranges. Mean quality: 3.6, Std Dev: 0.53. Mean process: 58.42, Std Dev: 10.76. Raw milk volume: 57501 liters."
55,Weekly,2024-10-14,2024-10-20,"Weekly production summary: Total output 30514 liters. Quality metrics within acceptable ranges. Mean quality: 3.42, Std Dev: 0.49. Mean process: 57.57, Std Dev: 10.08. Raw milk volume: 60827 liters."
56,Weekly,2024-07-30,2024-08-05,"Weekly production summary: Total output 33899 liters. Quality metrics within acceptable ranges. Mean quality: 3.73, Std Dev: 0.41. Mean process: 63.43, Std Dev: 8.39. Raw milk volume: 59125 liters."
57,Monthly,2024-06-02,2024-07-01,"Monthly overview: Production increased by 3% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.45, Std Dev: 0.55. Mean process: 60.32, Std Dev: 8.92. Raw milk volume: 217342 liters."
58,Monthly,2024-06-08,2024-07-07,"Monthly overview: Production increased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.43, Std Dev: 0.53. Mean process: 56.35, Std Dev: 10.22. Raw milk volume: 253354 liters."
59,Weekly,2024-05-10,2024-05-16,"Weekly production summary: Total output 31588 liters. Quality metrics within acceptable ranges. Mean quality: 3.5, Std Dev: 0.47. Mean process: 70.72, Std Dev: 10.63. Raw milk volume: 64124 liters."
60,Monthly,2024-07-13,2024-08-11,"Monthly overview: Production increased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.3, Std Dev: 0.51. Mean process: 56.69, Std Dev: 10.85. Raw milk volume: 261213 liters."
61,Weekly,2024-08-30,2024-09-05,"Weekly production summary: Total output 31612 liters. Quality metrics within acceptable ranges. Mean quality: 3.42, Std Dev: 0.49. Mean process: 62.52, Std Dev: 10.87. Raw milk volume: 51986 liters."
62,Monthly,2024-09-10,2024-10-09,"Monthly overview: Production decreased by 0% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.38, Std Dev: 0.48. Mean process: 57.63, Std Dev: 9.35. Raw milk volume: 214322 liters."
63,Weekly,2024-05-29,2024-06-04,"Weekly production summary: Total output 33116 liters. Quality metrics within acceptable ranges. Mean quality: 3.68, Std Dev: 0.52. Mean process: 53.7, Std Dev: 10.92. Raw milk volume: 67573 liters."
64,Monthly,2024-05-19,2024-06-17,"Monthly overview: Production increased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.71, Std Dev: 0.55. Mean process: 52.4, Std Dev: 9.52. Raw milk volume: 224050 liters."
65,Monthly,2024-07-20,2024-08-18,"Monthly overview: Production decreased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.63, Std Dev: 0.46. Mean process: 62.22, Std Dev: 10.77. Raw milk volume: 209880 liters."
66,Monthly,2024-09-25,2024-10-24,"Monthly overview: Production increased by 3% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.41, Std Dev: 0.5. Mean process: 43.79, Std Dev: 8.98. Raw milk volume: 212833 liters."
67,Weekly,2024-08-26,2024-09-01,"Weekly production summary: Total output 38856 liters. Quality metrics within acceptable ranges. Mean quality: 3.47, Std Dev: 0.44. Mean process: 68.16, Std Dev: 8.57. Raw milk volume: 50483 liters."
68,Weekly,2024-10-18,2024-10-24,"Weekly production summary: Total output 33872 liters. Quality metrics within acceptable ranges. Mean quality: 3.46, Std Dev: 0.51. Mean process: 67.21, Std Dev: 8.56. Raw milk volume: 55449 liters."
69,Monthly,2024-07-25,2024-08-23,"Monthly overview: Production increased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.62, Std Dev: 0.5. Mean process: 55.09, Std Dev: 10.46. Raw milk volume: 228016 liters."
70,Monthly,2024-10-14,2024-11-12,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.52, Std Dev: 0.47. Mean process: 60.35, Std Dev: 9.61. Raw milk volume: 221579 liters."
71,Monthly,2024-04-22,2024-05-21,"Monthly overview: Production increased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.51, Std Dev: 0.53. Mean process: 67.93, Std Dev: 8.76. Raw milk volume: 234760 liters."
72,Monthly,2024-06-16,2024-07-15,"Monthly overview: Production increased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.71, Std Dev: 0.4. Mean process: 59.24, Std Dev: 10.59. Raw milk volume: 291303 liters."
73,Monthly,2024-05-22,2024-06-20,"Monthly overview: Production decreased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.53, Std Dev: 0.47. Mean process: 58.96, Std Dev: 9.51. Raw milk volume: 238890 liters."
74,Weekly,2024-05-03,2024-05-09,"Weekly production summary: Total output 39489 liters. Quality metrics within acceptable ranges. Mean quality: 3.44, Std Dev: 0.54. Mean process: 61.79, Std Dev: 9.31. Raw milk volume: 67766 liters."
75,Weekly,2024-09-14,2024-09-20,"Weekly production summary: Total output 35138 liters. Quality metrics within acceptable ranges. Mean quality: 3.59, Std Dev: 0.52. Mean process: 64.06, Std Dev: 10.63. Raw milk volume: 51873 liters."
76,Weekly,2024-08-13,2024-08-19,"Weekly production summary: Total output 37811 liters. Quality metrics within acceptable ranges. Mean quality: 3.42, Std Dev: 0.47. Mean process: 63.74, Std Dev: 10.61. Raw milk volume: 66477 liters."
77,Weekly,2024-05-03,2024-05-09,"Weekly production summary: Total output 38320 liters. Quality metrics within acceptable ranges. Mean quality: 3.5, Std Dev: 0.51. Mean process: 66.39, Std Dev: 9.41. Raw milk volume: 52625 liters."
78,Weekly,2024-05-05,2024-05-11,"Weekly production summary: Total output 39749 liters. Quality metrics within acceptable ranges. Mean quality: 3.55, Std Dev: 0.49. Mean process: 58.91, Std Dev: 11.1. Raw milk volume: 52226 liters."
79,Weekly,2024-07-09,2024-07-15,"Weekly production summary: Total output 31964 liters. Quality metrics within acceptable ranges. Mean quality: 3.58, Std Dev: 0.54. Mean process: 66.53, Std Dev: 10.02. Raw milk volume: 68667 liters."
80,Weekly,2024-08-12,2024-08-18,"Weekly production summary: Total output 39740 liters. Quality metrics within acceptable ranges. Mean quality: 3.57, Std Dev: 0.48. Mean process: 61.62, Std Dev: 9.87. Raw milk volume: 51302 liters."
81,Weekly,2024-07-12,2024-07-18,"Weekly production summary: Total output 39562 liters. Quality metrics within acceptable ranges. Mean quality: 3.51, Std Dev: 0.53. Mean process: 55.91, Std Dev: 12.09. Raw milk volume: 68521 liters."
82,Monthly,2024-06-11,2024-07-10,"Monthly overview: Production decreased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.4, Std Dev: 0.44. Mean process: 65.79, Std Dev: 10.79. Raw milk volume: 287782 liters."
83,Monthly,2024-06-07,2024-07-06,"Monthly overview: Production decreased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.56, Std Dev: 0.53. Mean process: 59.94, Std Dev: 9.1. Raw milk volume: 251876 liters."
84,Weekly,2024-08-30,2024-09-05,"Weekly production summary: Total output 34915 liters. Quality metrics within acceptable ranges. Mean quality: 3.51, Std Dev: 0.47. Mean process: 64.88, Std Dev: 9.85. Raw milk volume: 64982 liters."
85,Monthly,2024-10-19,2024-11-17,"Monthly overview: Production decreased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.42, Std Dev: 0.48. Mean process: 62.06, Std Dev: 9.44. Raw milk volume: 201220 liters."
86,Monthly,2024-08-20,2024-09-18,"Monthly overview: Production increased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.42, Std Dev: 0.51. Mean process: 61.22, Std Dev: 9.49. Raw milk volume: 213104 liters."
87,Weekly,2024-08-04,2024-08-10,"Weekly production summary: Total output 33492 liters. Quality metrics within acceptable ranges. Mean quality: 3.45, Std Dev: 0.51. Mean process: 52.76, Std Dev: 8.59. Raw milk volume: 66576 liters."
88,Monthly,2024-05-17,2024-06-15,"Monthly overview: Production decreased by 0% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.43, Std Dev: 0.49. Mean process: 61.55, Std Dev: 11.48. Raw milk volume: 209016 liters."
89,Weekly,2024-07-02,2024-07-08,"Weekly production summary: Total output 34669 liters. Quality metrics within acceptable ranges. Mean quality: 3.59, Std Dev: 0.49. Mean process: 59.9, Std Dev: 9.0. Raw milk volume: 55169 liters."
90,Monthly,2024-09-30,2024-10-29,"Monthly overview: Production increased by 3% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.5, Std Dev: 0.49. Mean process: 61.61, Std Dev: 9.17. Raw milk volume: 292214 liters."
91,Monthly,2024-08-18,2024-09-16,"Monthly overview: Production increased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.55, Std Dev: 0.58. Mean process: 59.46, Std Dev: 10.4. Raw milk volume: 269329 liters."
92,Weekly,2024-08-29,2024-09-04,"Weekly production summary: Total output 39086 liters. Quality metrics within acceptable ranges. Mean quality: 3.57, Std Dev: 0.48. Mean process: 61.12, Std Dev: 10.01. Raw milk volume: 59810 liters."
93,Weekly,2024-10-09,2024-10-15,"Weekly production summary: Total output 32200 liters. Quality metrics within acceptable ranges. Mean quality: 3.51, Std Dev: 0.46. Mean process: 60.12, Std Dev: 10.5. Raw milk volume: 58666 liters."
94,Weekly,2024-10-11,2024-10-17,"Weekly production summary: Total output 31753 liters. Quality metrics within acceptable ranges. Mean quality: 3.65, Std Dev: 0.55. Mean process: 70.77, Std Dev: 9.23. Raw milk volume: 68128 liters."
95,Weekly,2024-06-13,2024-06-19,"Weekly production summary: Total output 34616 liters. Quality metrics within acceptable ranges. Mean quality: 3.59, Std Dev: 0.51. Mean process: 70.95, Std Dev: 9.19. Raw milk volume: 69819 liters."
96,Weekly,2024-09-08,2024-09-14,"Weekly production summary: Total output 35617 liters. Quality metrics within acceptable ranges. Mean quality: 3.42, Std Dev: 0.47. Mean process: 49.38, Std Dev: 9.47. Raw milk volume: 56671 liters."
97,Monthly,2024-07-29,2024-08-27,"Monthly overview: Production increased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.42, Std Dev: 0.51. Mean process: 61.71, Std Dev: 11.88. Raw milk volume: 232914 liters."
98,Weekly,2024-05-09,2024-05-15,"Weekly production summary: Total output 36939 liters. Quality metrics within acceptable ranges. Mean quality: 3.6, Std Dev: 0.47. Mean process: 55.51, Std Dev: 10.49. Raw milk volume: 59066 liters."
99,Weekly,2024-04-22,2024-04-28,"Weekly production summary: Total output 35464 liters. Quality metrics within acceptable ranges. Mean quality: 3.37, Std Dev: 0.59. Mean process: 65.9, Std Dev: 9.53. Raw milk volume: 54286 liters."
100,Monthly,2024-05-23,2024-06-21,"Monthly overview: Production increased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.33, Std Dev: 0.57. Mean process: 59.43, Std Dev: 11.24. Raw milk volume: 272309 liters."
101,Monthly,2024-08-08,2024-09-06,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.34, Std Dev: 0.47. Mean process: 60.03, Std Dev: 10.05. Raw milk volume: 214663 liters."
102,Weekly,2024-10-10,2024-10-16,"Weekly production summary: Total output 32442 liters. Quality metrics within acceptable ranges. Mean quality: 3.45, Std Dev: 0.53. Mean process: 54.66, Std Dev: 9.86. Raw milk volume: 67877 liters."
103,Weekly,2024-10-01,2024-10-07,"Weekly production summary: Total output 36049 liters. Quality metrics within acceptable ranges. Mean quality: 3.51, Std Dev: 0.53. Mean process: 63.56, Std Dev: 8.88. Raw milk volume: 69087 liters."
104,Weekly,2024-07-14,2024-07-20,"Weekly production summary: Total output 32088 liters. Quality metrics within acceptable ranges. Mean quality: 3.35, Std Dev: 0.56. Mean process: 61.66, Std Dev: 9.25. Raw milk volume: 51370 liters."
105,Monthly,2024-07-01,2024-07-30,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.66, Std Dev: 0.51. Mean process: 65.9, Std Dev: 10.07. Raw milk volume: 246898 liters."
106,Weekly,2024-09-01,2024-09-07,"Weekly production summary: Total output 34088 liters. Quality metrics within acceptable ranges. Mean quality: 3.71, Std Dev: 0.59. Mean process: 58.76, Std Dev: 10.97. Raw milk volume: 53368 liters."
107,Monthly,2024-09-20,2024-10-19,"Monthly overview: Production increased by 3% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.56, Std Dev: 0.57. Mean process: 55.18, Std Dev: 10.69. Raw milk volume: 253264 liters."
108,Weekly,2024-10-18,2024-10-24,"Weekly production summary: Total output 33878 liters. Quality metrics within acceptable ranges. Mean quality: 3.61, Std Dev: 0.41. Mean process: 54.08, Std Dev: 7.96. Raw milk volume: 55324 liters."
109,Weekly,2024-10-10,2024-10-16,"Weekly production summary: Total output 36755 liters. Quality metrics within acceptable ranges. Mean quality: 3.47, Std Dev: 0.54. Mean process: 67.51, Std Dev: 10.07. Raw milk volume: 50812 liters."
110,Weekly,2024-09-12,2024-09-18,"Weekly production summary: Total output 35442 liters. Quality metrics within acceptable ranges. Mean quality: 3.66, Std Dev: 0.43. Mean process: 51.48, Std Dev: 9.94. Raw milk volume: 63491 liters."
111,Weekly,2024-06-12,2024-06-18,"Weekly production summary: Total output 32608 liters. Quality metrics within acceptable ranges. Mean quality: 3.54, Std Dev: 0.5. Mean process: 49.66, Std Dev: 9.91. Raw milk volume: 53542 liters."
112,Monthly,2024-10-08,2024-11-06,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.37, Std Dev: 0.53. Mean process: 61.83, Std Dev: 9.06. Raw milk volume: 261694 liters."
113,Weekly,2024-05-30,2024-06-05,"Weekly production summary: Total output 37541 liters. Quality metrics within acceptable ranges. Mean quality: 3.45, Std Dev: 0.45. Mean process: 59.69, Std Dev: 10.96. Raw milk volume: 61457 liters."
114,Monthly,2024-09-28,2024-10-27,"Monthly overview: Production decreased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.4, Std Dev: 0.53. Mean process: 57.35, Std Dev: 9.21. Raw milk volume: 229219 liters."
115,Weekly,2024-08-28,2024-09-03,"Weekly production summary: Total output 33164 liters. Quality metrics within acceptable ranges. Mean quality: 3.49, Std Dev: 0.45. Mean process: 57.23, Std Dev: 8.8. Raw milk volume: 63056 liters."
116,Monthly,2024-06-15,2024-07-14,"Monthly overview: Production decreased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.7, Std Dev: 0.5. Mean process: 56.5, Std Dev: 10.21. Raw milk volume: 236585 liters."
117,Monthly,2024-08-24,2024-09-22,"Monthly overview: Production increased by 3% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.49, Std Dev: 0.49. Mean process: 63.07, Std Dev: 10.76. Raw milk volume: 252386 liters."
118,Monthly,2024-04-27,2024-05-26,"Monthly overview: Production decreased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.45, Std Dev: 0.47. Mean process: 58.62, Std Dev: 7.7. Raw milk volume: 234237 liters."
119,Weekly,2024-08-12,2024-08-18,"Weekly production summary: Total output 34349 liters. Quality metrics within acceptable ranges. Mean quality: 3.35, Std Dev: 0.57. Mean process: 68.22, Std Dev: 9.75. Raw milk volume: 51253 liters."
120,Weekly,2024-08-15,2024-08-21,"Weekly production summary: Total output 37119 liters. Quality metrics within acceptable ranges. Mean quality: 3.56, Std Dev: 0.52. Mean process: 75.39, Std Dev: 11.12. Raw milk volume: 61327 liters."
