material_id,arrival_date,supplier_name,material_type,quantity,unit,quality_check,remarks
35,2024-10-19T09:03:02,Highland Farms,Cream,14112.72,Liters,Failed,Consistent quality as previous shipments.
36,2024-08-30T10:17:17,Happy Cows,Skim Milk,3895.78,Liters,Failed,"Detected contaminants, batch returned."
37,2024-07-18T16:04:40,Mountain Dairy,Cream,11044.32,Liters,Passed,High bacterial count detected; returned to supplier.
38,2024-06-26T15:35:34,Dairy Farms Inc.,Cream,201.65,Liters,Passed,"No issues, quality is within standards."
39,2024-05-05T18:51:06,Sunshine Dairy,Raw Milk,3359.07,Liters,Passed,High bacterial count detected; returned to supplier.
40,2024-10-14T19:33:47,Dairy Farms Inc.,Skim Milk,10984.31,Liters,Passed,"Detected contaminants, batch returned."
41,2024-06-07T05:10:55,Green Valley Dairy,Other,13692.33,Liters,Passed,"Detected contaminants, batch returned."
42,2024-05-17T16:37:04,Sunshine Dairy,Other,10856.84,Liters,Passed,"High quality milk, no bacteria detected."
43,2024-09-25T19:12:31,Country Milk,Cream,9421.76,Liters,Passed,High bacterial count detected; returned to supplier.
44,2024-08-27T23:04:55,Country Milk,Skim Milk,8494.48,Liters,Failed,Consistent quality as previous shipments.
45,2024-07-21T16:29:33,Sunshine Dairy,Raw Milk,2607.39,Liters,Passed,"No issues, quality is within standards."
46,2024-07-09T04:21:04,Sunshine Dairy,Skim Milk,6400.78,Liters,Passed,"Sample test passed, suitable for processing."
47,2024-05-29T04:52:28,Hillside Dairy,Other,7696.81,Liters,Passed,Consistent quality as previous shipments.
48,2024-05-27T15:06:58,Green Valley Dairy,Other,15285.61,Liters,Passed,High bacterial count detected; returned to supplier.
49,2024-07-17T01:08:20,Highland Farms,Raw Milk,11718.09,Liters,Passed,"Detected contaminants, batch returned."
50,2024-10-01T08:10:15,Dairy Farms Inc.,Raw Milk,1184.8,Liters,Passed,"Quality is good, within standards."
51,2024-07-09T22:01:36,Riverside Dairy,Other,11620.42,Liters,Passed,Consistent quality as previous shipments.
52,2024-10-14T05:41:18,Dairy Farms Inc.,Cream,8074.59,Liters,Failed,"No issues, quality is within standards."
53,2024-07-06T19:29:50,Green Valley Dairy,Other,6615.39,Liters,Failed,Consistent quality as previous shipments.
54,2024-09-04T06:21:06,Sunshine Dairy,Other,13058.38,Liters,Passed,"Sample test passed, suitable for processing."
55,2024-06-18T14:45:31,Hillside Dairy,Raw Milk,15155.0,Liters,Passed,"No anomalies, quality is consistent."
56,2024-05-03T02:24:34,Dairy Farms Inc.,Other,14656.4,Liters,Passed,"No issues, quality is within standards."
57,2024-07-29T14:39:08,Mountain Dairy,Cream,5803.91,Liters,Passed,"Meets all quality standards, ready for processing."
58,2024-05-05T04:43:14,Happy Cows,Cream,8453.94,Liters,Failed,High bacterial count detected; returned to supplier.
59,2024-10-11T21:02:22,Valley Dairy,Cream,11656.32,Liters,Passed,"Meets all quality standards, ready for processing."
60,2024-05-07T22:04:13,Country Milk,Skim Milk,14877.73,Liters,Failed,"Sample test passed, suitable for processing."
61,2024-08-30T01:08:57,Sunshine Dairy,Skim Milk,7604.13,Liters,Passed,Quality matches the standards set by the company.
62,2024-07-07T20:29:44,Sunny Meadows,Skim Milk,9071.71,Liters,Failed,"No anomalies, quality is consistent."
63,2024-10-19T09:32:21,Mountain Dairy,Raw Milk,4468.33,Liters,Failed,"Meets all quality standards, ready for processing."
64,2024-08-09T07:44:25,Mountain Dairy,Raw Milk,4018.97,Liters,Passed,"Detected contaminants, batch returned."
65,2024-06-12T11:55:24,Sunny Meadows,Skim Milk,14062.63,Liters,Passed,"Sample test passed, suitable for processing."
66,2024-07-02T18:07:15,Green Valley Dairy,Cream,16781.2,Liters,Failed,"Detected contaminants, batch returned."
67,2024-09-05T14:44:01,Green Valley Dairy,Raw Milk,9639.95,Liters,Failed,High bacterial count detected; returned to supplier.
68,2024-10-09T12:22:05,Sunny Meadows,Skim Milk,15017.66,Liters,Passed,High bacterial count detected; returned to supplier.
69,2024-09-13T03:54:45,Highland Farms,Cream,11808.18,Liters,Failed,Quality matches the standards set by the company.
70,2024-08-17T10:42:40,Hillside Dairy,Skim Milk,6774.4,Liters,Passed,Quality matches the standards set by the company.
71,2024-07-29T03:22:36,Riverside Dairy,Skim Milk,11806.98,Liters,Passed,High bacterial count detected; returned to supplier.
72,2024-08-23T03:58:47,Country Milk,Skim Milk,17690.18,Liters,Passed,"No issues, quality is within standards."
73,2024-06-25T18:29:10,Sunny Meadows,Skim Milk,9820.87,Liters,Passed,"High quality milk, no bacteria detected."
74,2024-08-07T03:01:01,Sunshine Dairy,Other,17823.22,Liters,Passed,High bacterial count detected; returned to supplier.
75,2024-05-06T14:39:42,Sunshine Dairy,Cream,-3098.73,Liters,Passed,"No anomalies, quality is consistent."
76,2024-08-13T02:41:28,Highland Farms,Cream,14109.51,Liters,Failed,"Quality is good, within standards."
77,2024-04-30T02:56:11,Green Valley Dairy,Skim Milk,10435.24,Liters,Passed,"No anomalies, quality is consistent."
78,2024-06-01T19:01:39,Happy Cows,Cream,8504.96,Liters,Passed,"No anomalies, quality is consistent."
79,2024-09-20T11:36:18,Highland Farms,Other,10458.8,Liters,Passed,"Sample test passed, suitable for processing."
80,2024-10-06T21:21:16,Sunny Meadows,Cream,62.16,Liters,Failed,"No issues, quality is within standards."
81,2024-05-26T19:52:52,Sunshine Dairy,Skim Milk,8901.64,Liters,Failed,"Sample test passed, suitable for processing."
82,2024-06-12T19:24:17,Sunny Meadows,Raw Milk,11785.56,Liters,Failed,"No issues, quality is within standards."
83,2024-10-05T17:20:04,Riverside Dairy,Cream,17389.47,Liters,Passed,"High quality milk, no bacteria detected."
84,2024-06-28T21:31:34,Green Valley Dairy,Cream,7408.65,Liters,Passed,"No issues, quality is within standards."
85,2024-08-28T03:58:39,Hillside Dairy,Other,5957.53,Liters,Failed,Quality matches the standards set by the company.
86,2024-10-06T20:10:36,Mountain Dairy,Skim Milk,7491.21,Liters,Failed,"Detected contaminants, batch returned."
87,2024-07-08T14:38:10,Happy Cows,Skim Milk,14577.01,Liters,Passed,High bacterial count detected; returned to supplier.
88,2024-10-09T07:17:42,Green Valley Dairy,Cream,11643.76,Liters,Failed,"No issues, quality is within standards."
89,2024-05-13T01:11:32,Valley Dairy,Other,7351.2,Liters,Failed,"No anomalies, quality is consistent."
90,2024-07-15T17:44:34,Valley Dairy,Raw Milk,12566.34,Liters,Failed,"Meets all quality standards, ready for processing."
91,2024-05-28T21:49:52,Green Valley Dairy,Raw Milk,10485.39,Liters,Failed,"No issues, quality is within standards."
92,2024-07-31T23:00:15,Highland Farms,Cream,14843.22,Liters,Failed,Consistent quality as previous shipments.
93,2024-05-05T14:06:05,Happy Cows,Skim Milk,6489.73,Liters,Failed,High bacterial count detected; returned to supplier.
94,2024-09-08T18:17:52,Green Valley Dairy,Skim Milk,8361.69,Liters,Failed,"No anomalies, quality is consistent."
95,2024-07-09T03:19:18,Sunshine Dairy,Skim Milk,8039.46,Liters,Passed,"Sample test passed, suitable for processing."
96,2024-07-12T15:25:18,Happy Cows,Other,2682.43,Liters,Passed,"Meets all quality standards, ready for processing."
97,2024-08-10T12:13:21,Green Valley Dairy,Other,11480.6,Liters,Passed,Quality matches the standards set by the company.
98,2024-06-16T17:06:53,Hillside Dairy,Other,11305.28,Liters,Failed,"High quality milk, no bacteria detected."
99,2024-07-16T18:52:19,Riverside Dairy,Cream,10025.57,Liters,Failed,"Quality is good, within standards."
100,2024-08-27T22:28:01,Mountain Dairy,Skim Milk,8827.06,Liters,Failed,High bacterial count detected; returned to supplier.
101,2024-09-27T22:07:47,Hillside Dairy,Skim Milk,2923.15,Liters,Passed,"Sample test passed, suitable for processing."
102,2024-05-20T14:43:09,Dairy Farms Inc.,Raw Milk,7896.77,Liters,Passed,"High quality milk, no bacteria detected."
103,2024-08-18T16:44:35,Mountain Dairy,Other,8286.43,Liters,Failed,"Meets all quality standards, ready for processing."
104,2024-05-29T18:08:01,Sunshine Dairy,Other,5988.61,Liters,Failed,Consistent quality as previous shipments.
105,2024-06-08T09:02:59,Sunny Meadows,Raw Milk,9193.57,Liters,Passed,Consistent quality as previous shipments.
106,2024-06-03T11:52:25,Sunny Meadows,Other,12020.25,Liters,Passed,"Detected contaminants, batch returned."
107,2024-06-09T09:20:53,Mountain Dairy,Other,19430.93,Liters,Passed,"High quality milk, no bacteria detected."
108,2024-08-29T15:08:15,Highland Farms,Skim Milk,10872.89,Liters,Failed,"Meets all quality standards, ready for processing."
109,2024-09-27T06:12:20,Sunshine Dairy,Other,11287.75,Liters,Failed,"Quality is good, within standards."
110,2024-09-13T09:41:07,Riverside Dairy,Other,9627.77,Liters,Failed,"Sample test passed, suitable for processing."
111,2024-10-02T02:02:41,Happy Cows,Skim Milk,406.14,Liters,Failed,"Sample test passed, suitable for processing."
112,2024-06-14T07:43:00,Riverside Dairy,Raw Milk,9867.43,Liters,Failed,"Sample test passed, suitable for processing."
113,2024-06-13T18:17:03,Farm Fresh,Skim Milk,10301.15,Liters,Passed,"Quality is good, within standards."
114,2024-05-21T06:55:18,Hillside Dairy,Other,22316.21,Liters,Passed,"Sample test passed, suitable for processing."
115,2024-05-04T11:19:41,Country Milk,Other,9038.2,Liters,Failed,"Detected contaminants, batch returned."
116,2024-07-21T11:21:52,Country Milk,Raw Milk,11507.74,Liters,Passed,Consistent quality as previous shipments.
117,2024-07-06T15:05:36,Valley Dairy,Raw Milk,9826.44,Liters,Failed,"High quality milk, no bacteria detected."
118,2024-04-23T03:28:39,Farm Fresh,Skim Milk,4156.61,Liters,Failed,Consistent quality as previous shipments.
119,2024-08-04T12:17:22,Sunshine Dairy,Cream,15714.11,Liters,Failed,"Sample test passed, suitable for processing."
120,2024-06-13T23:58:14,Country Milk,Other,13759.67,Liters,Passed,Consistent quality as previous shipments.
121,2024-06-26T06:28:37,Happy Cows,Other,13955.16,Liters,Passed,"High quality milk, no bacteria detected."
122,2024-10-17T13:22:28,Sunny Meadows,Raw Milk,5453.06,Liters,Failed,"Meets all quality standards, ready for processing."
123,2024-08-09T14:15:26,Happy Cows,Raw Milk,17013.97,Liters,Passed,Consistent quality as previous shipments.
124,2024-05-18T08:24:19,Riverside Dairy,Cream,2990.74,Liters,Passed,Quality matches the standards set by the company.
125,2024-07-04T14:45:07,Farm Fresh,Cream,12934.29,Liters,Failed,"No anomalies, quality is consistent."
126,2024-06-26T12:51:59,Country Milk,Skim Milk,20952.28,Liters,Failed,Quality matches the standards set by the company.
127,2024-10-01T02:58:00,Mountain Dairy,Other,5047.32,Liters,Passed,"Detected contaminants, batch returned."
128,2024-05-02T02:44:11,Farm Fresh,Cream,7168.51,Liters,Passed,"No issues, quality is within standards."
129,2024-09-15T10:58:53,Dairy Farms Inc.,Cream,10498.26,Liters,Passed,"No issues, quality is within standards."
130,2024-08-20T15:38:02,Sunny Meadows,Cream,7482.62,Liters,Passed,"High quality milk, no bacteria detected."
131,2024-08-29T23:54:15,Mountain Dairy,Cream,2246.68,Liters,Failed,Quality matches the standards set by the company.
132,2024-09-17T22:00:15,Farm Fresh,Cream,10342.81,Liters,Passed,"Quality is good, within standards."
133,2024-06-21T09:32:47,Mountain Dairy,Raw Milk,4688.48,Liters,Failed,"Meets all quality standards, ready for processing."
134,2024-08-31T12:40:01,Country Milk,Other,12367.96,Liters,Passed,High bacterial count detected; returned to supplier.
135,2024-08-14T23:22:33,Sunshine Dairy,Cream,5402.88,Liters,Passed,Quality matches the standards set by the company.
136,2024-10-04T02:39:13,Happy Cows,Raw Milk,17749.67,Liters,Passed,"No anomalies, quality is consistent."
137,2024-08-03T10:46:22,Country Milk,Skim Milk,6083.73,Liters,Passed,"Detected contaminants, batch returned."
138,2024-08-25T17:46:13,Farm Fresh,Raw Milk,8389.69,Liters,Failed,"High quality milk, no bacteria detected."
139,2024-05-12T11:50:48,Country Milk,Skim Milk,14067.59,Liters,Failed,"Quality is good, within standards."
140,2024-07-15T13:31:01,Sunny Meadows,Skim Milk,3845.68,Liters,Failed,"High quality milk, no bacteria detected."
141,2024-07-15T13:55:27,Sunshine Dairy,Skim Milk,11137.3,Liters,Failed,"Sample test passed, suitable for processing."
142,2024-09-30T07:29:13,Mountain Dairy,Skim Milk,16535.71,Liters,Failed,"Sample test passed, suitable for processing."
143,2024-09-14T17:28:22,Riverside Dairy,Other,1962.58,Liters,Failed,"No issues, quality is within standards."
144,2024-07-26T23:38:06,Farm Fresh,Cream,10923.17,Liters,Failed,"Sample test passed, suitable for processing."
145,2024-06-29T21:36:15,Green Valley Dairy,Skim Milk,11299.41,Liters,Failed,"Meets all quality standards, ready for processing."
146,2024-09-05T03:45:11,Green Valley Dairy,Raw Milk,13909.11,Liters,Passed,High bacterial count detected; returned to supplier.
147,2024-06-07T20:48:02,Sunshine Dairy,Other,3815.25,Liters,Failed,"Detected contaminants, batch returned."
148,2024-09-16T05:18:12,Hillside Dairy,Other,3397.72,Liters,Failed,"High quality milk, no bacteria detected."
149,2024-09-22T23:20:06,Dairy Farms Inc.,Raw Milk,12609.71,Liters,Failed,"Sample test passed, suitable for processing."
150,2024-07-09T12:38:45,Sunshine Dairy,Cream,11484.92,Liters,Failed,"Meets all quality standards, ready for processing."
151,2024-07-02T15:45:35,Riverside Dairy,Skim Milk,11252.46,Liters,Failed,"Detected contaminants, batch returned."
152,2024-06-25T05:35:57,Farm Fresh,Other,11732.24,Liters,Failed,Quality matches the standards set by the company.
153,2024-06-09T19:37:33,Hillside Dairy,Raw Milk,6599.88,Liters,Passed,"No anomalies, quality is consistent."
154,2024-05-15T05:09:55,Sunshine Dairy,Cream,11161.27,Liters,Passed,"Sample test passed, suitable for processing."
155,2024-09-12T10:08:49,Riverside Dairy,Skim Milk,11465.36,Liters,Failed,High bacterial count detected; returned to supplier.
156,2024-09-30T16:19:45,Hillside Dairy,Skim Milk,6428.24,Liters,Passed,"No anomalies, quality is consistent."
157,2024-05-26T20:15:29,Green Valley Dairy,Raw Milk,19328.87,Liters,Passed,Quality matches the standards set by the company.
158,2024-04-30T20:07:06,Dairy Farms Inc.,Skim Milk,12369.16,Liters,Passed,"High quality milk, no bacteria detected."
159,2024-05-11T22:05:35,Dairy Farms Inc.,Skim Milk,4043.48,Liters,Failed,"High quality milk, no bacteria detected."
160,2024-07-16T12:44:00,Farm Fresh,Cream,13282.77,Liters,Passed,Quality matches the standards set by the company.
161,2024-10-06T07:55:12,Riverside Dairy,Raw Milk,5126.59,Liters,Passed,Consistent quality as previous shipments.
162,2024-07-26T11:42:18,Mountain Dairy,Raw Milk,13935.42,Liters,Passed,"Quality is good, within standards."
163,2024-09-26T12:11:45,Valley Dairy,Skim Milk,15792.98,Liters,Passed,"Sample test passed, suitable for processing."
164,2024-05-15T00:01:27,Highland Farms,Other,5896.59,Liters,Passed,"Detected contaminants, batch returned."
165,2024-07-04T20:41:24,Riverside Dairy,Other,14816.88,Liters,Failed,"Meets all quality standards, ready for processing."
166,2024-07-14T06:29:30,Green Valley Dairy,Raw Milk,12063.9,Liters,Passed,"Sample test passed, suitable for processing."
167,2024-08-21T11:06:40,Hillside Dairy,Skim Milk,14110.3,Liters,Passed,"Quality is good, within standards."
168,2024-06-07T13:51:09,Sunny Meadows,Raw Milk,19483.96,Liters,Passed,"No issues, quality is within standards."
169,2024-07-10T07:49:47,Riverside Dairy,Other,8773.06,Liters,Failed,"No issues, quality is within standards."
170,2024-06-05T22:45:26,Green Valley Dairy,Skim Milk,6231.32,Liters,Failed,High bacterial count detected; returned to supplier.
171,2024-09-02T11:26:45,Hillside Dairy,Skim Milk,5552.43,Liters,Passed,Consistent quality as previous shipments.
172,2024-05-14T06:53:46,Highland Farms,Cream,5920.95,Liters,Passed,Quality matches the standards set by the company.
173,2024-09-29T12:22:49,Sunny Meadows,Raw Milk,9614.49,Liters,Passed,"Quality is good, within standards."
174,2024-09-22T21:55:00,Green Valley Dairy,Skim Milk,11705.76,Liters,Failed,High bacterial count detected; returned to supplier.
175,2024-07-22T00:17:27,Sunshine Dairy,Skim Milk,11383.45,Liters,Failed,Quality matches the standards set by the company.
176,2024-07-28T04:22:09,Highland Farms,Other,14135.92,Liters,Failed,High bacterial count detected; returned to supplier.
177,2024-08-16T03:03:10,Dairy Farms Inc.,Other,10065.01,Liters,Failed,"Meets all quality standards, ready for processing."
178,2024-06-09T14:47:56,Dairy Farms Inc.,Raw Milk,17267.67,Liters,Passed,"Meets all quality standards, ready for processing."
179,2024-08-14T00:11:28,Dairy Farms Inc.,Skim Milk,8676.72,Liters,Passed,"Quality is good, within standards."
180,2024-07-22T08:41:33,Highland Farms,Other,23600.85,Liters,Failed,"Quality is good, within standards."
181,2024-08-13T15:50:01,Country Milk,Other,13128.34,Liters,Passed,"High quality milk, no bacteria detected."
182,2024-06-28T13:36:57,Country Milk,Skim Milk,5714.21,Liters,Failed,High bacterial count detected; returned to supplier.
183,2024-10-05T13:19:33,Sunny Meadows,Skim Milk,4645.54,Liters,Failed,"High quality milk, no bacteria detected."
184,2024-06-16T23:11:32,Happy Cows,Other,12412.36,Liters,Passed,"High quality milk, no bacteria detected."
185,2024-05-09T02:23:18,Farm Fresh,Skim Milk,8882.69,Liters,Failed,High bacterial count detected; returned to supplier.
186,2024-09-19T00:20:03,Country Milk,Raw Milk,13570.0,Liters,Failed,Consistent quality as previous shipments.
187,2024-05-02T12:36:33,Hillside Dairy,Skim Milk,12366.19,Liters,Failed,"High quality milk, no bacteria detected."
188,2024-09-16T13:48:45,Dairy Farms Inc.,Cream,9635.86,Liters,Failed,"Detected contaminants, batch returned."
189,2024-05-17T10:33:57,Green Valley Dairy,Other,5766.03,Liters,Failed,High bacterial count detected; returned to supplier.
190,2024-04-27T14:32:28,Happy Cows,Cream,2425.76,Liters,Passed,Quality matches the standards set by the company.
191,2024-08-06T23:05:45,Dairy Farms Inc.,Other,7767.43,Liters,Passed,"Sample test passed, suitable for processing."
192,2024-10-02T09:14:04,Mountain Dairy,Other,14281.99,Liters,Passed,"Quality is good, within standards."
193,2024-07-27T18:35:53,Sunshine Dairy,Skim Milk,11070.47,Liters,Failed,Consistent quality as previous shipments.
194,2024-10-01T02:05:43,Riverside Dairy,Other,3771.31,Liters,Passed,"High quality milk, no bacteria detected."
195,2024-08-07T01:04:53,Sunny Meadows,Other,10865.9,Liters,Passed,"Meets all quality standards, ready for processing."
196,2024-07-29T16:34:27,Sunshine Dairy,Cream,11926.59,Liters,Passed,Quality matches the standards set by the company.
197,2024-09-19T00:55:37,Country Milk,Skim Milk,5580.71,Liters,Failed,"No issues, quality is within standards."
198,2024-06-15T22:07:30,Sunshine Dairy,Skim Milk,10768.63,Liters,Failed,"Quality is good, within standards."
199,2024-07-17T17:03:42,Highland Farms,Other,10291.04,Liters,Failed,"No anomalies, quality is consistent."
200,2024-08-07T04:07:17,Highland Farms,Other,4285.15,Liters,Failed,"No anomalies, quality is consistent."
201,2024-10-07T20:38:15,Hillside Dairy,Cream,11788.94,Liters,Failed,"Sample test passed, suitable for processing."
202,2024-10-05T05:18:34,Country Milk,Raw Milk,12803.92,Liters,Failed,"High quality milk, no bacteria detected."
203,2024-09-05T22:36:00,Country Milk,Other,15415.26,Liters,Passed,"High quality milk, no bacteria detected."
204,2024-04-29T04:31:26,Sunny Meadows,Skim Milk,15269.01,Liters,Passed,"High quality milk, no bacteria detected."
205,2024-05-11T08:41:24,Highland Farms,Other,3111.65,Liters,Passed,"Quality is good, within standards."
206,2024-07-10T14:38:19,Happy Cows,Cream,5310.87,Liters,Passed,"High quality milk, no bacteria detected."
207,2024-09-20T18:10:18,Green Valley Dairy,Skim Milk,12575.18,Liters,Failed,High bacterial count detected; returned to supplier.
208,2024-10-04T09:30:50,Farm Fresh,Other,12568.93,Liters,Failed,"High quality milk, no bacteria detected."
209,2024-10-08T09:35:58,Highland Farms,Raw Milk,12575.24,Liters,Passed,"Sample test passed, suitable for processing."
210,2024-08-22T13:25:24,Happy Cows,Skim Milk,29263.66,Liters,Passed,High bacterial count detected; returned to supplier.
211,2024-07-15T06:27:13,Mountain Dairy,Raw Milk,12854.45,Liters,Failed,"Quality is good, within standards."
212,2024-09-03T18:16:47,Green Valley Dairy,Raw Milk,15677.83,Liters,Passed,"No anomalies, quality is consistent."
213,2024-09-23T14:17:50,Dairy Farms Inc.,Skim Milk,14770.01,Liters,Failed,"No anomalies, quality is consistent."
214,2024-07-14T15:08:45,Sunny Meadows,Cream,13256.96,Liters,Failed,"Meets all quality standards, ready for processing."
215,2024-09-01T09:25:12,Sunny Meadows,Cream,8423.65,Liters,Passed,High bacterial count detected; returned to supplier.
216,2024-08-18T08:26:15,Country Milk,Cream,13794.85,Liters,Failed,"Meets all quality standards, ready for processing."
217,2024-05-19T18:58:36,Hillside Dairy,Other,6135.87,Liters,Failed,"High quality milk, no bacteria detected."
218,2024-06-10T13:54:31,Happy Cows,Raw Milk,8815.91,Liters,Failed,Quality matches the standards set by the company.
219,2024-08-31T13:53:44,Highland Farms,Cream,7573.18,Liters,Passed,"High quality milk, no bacteria detected."
220,2024-06-28T02:27:09,Valley Dairy,Skim Milk,10409.37,Liters,Failed,Quality matches the standards set by the company.
221,2024-07-19T17:00:33,Green Valley Dairy,Cream,21573.29,Liters,Failed,"High quality milk, no bacteria detected."
222,2024-05-12T17:02:24,Hillside Dairy,Other,663.67,Liters,Failed,"Meets all quality standards, ready for processing."
223,2024-06-18T10:51:54,Sunshine Dairy,Skim Milk,13431.3,Liters,Passed,Consistent quality as previous shipments.
224,2024-06-14T07:10:16,Dairy Farms Inc.,Raw Milk,1936.42,Liters,Failed,Quality matches the standards set by the company.
225,2024-09-19T15:12:53,Hillside Dairy,Skim Milk,7640.34,Liters,Passed,"Sample test passed, suitable for processing."
226,2024-08-20T13:33:45,Green Valley Dairy,Cream,15444.75,Liters,Passed,"No issues, quality is within standards."
227,2024-06-20T23:43:53,Riverside Dairy,Raw Milk,10321.4,Liters,Failed,"Quality is good, within standards."
228,2024-05-09T12:03:07,Green Valley Dairy,Skim Milk,4611.28,Liters,Failed,"Quality is good, within standards."
229,2024-05-30T23:46:17,Sunny Meadows,Skim Milk,6423.48,Liters,Failed,"Quality is good, within standards."
230,2024-06-10T21:34:02,Riverside Dairy,Skim Milk,13397.99,Liters,Failed,High bacterial count detected; returned to supplier.
231,2024-07-21T22:34:56,Mountain Dairy,Cream,6348.17,Liters,Passed,Consistent quality as previous shipments.
232,2024-10-03T05:27:17,Highland Farms,Skim Milk,11082.29,Liters,Passed,Consistent quality as previous shipments.
233,2024-04-24T16:51:56,Green Valley Dairy,Raw Milk,10227.86,Liters,Failed,"No anomalies, quality is consistent."
234,2024-08-30T15:36:27,Sunshine Dairy,Skim Milk,6742.0,Liters,Failed,"No anomalies, quality is consistent."
235,2024-05-13T00:55:45,Happy Cows,Cream,20719.72,Liters,Failed,"No issues, quality is within standards."
236,2024-08-20T07:17:51,Highland Farms,Skim Milk,13169.6,Liters,Passed,High bacterial count detected; returned to supplier.
237,2024-08-23T09:11:48,Riverside Dairy,Skim Milk,-125.71,Liters,Failed,High bacterial count detected; returned to supplier.
238,2024-05-19T03:24:29,Dairy Farms Inc.,Raw Milk,10932.27,Liters,Failed,"High quality milk, no bacteria detected."
239,2024-05-14T13:09:38,Mountain Dairy,Cream,6691.07,Liters,Passed,Consistent quality as previous shipments.
240,2024-07-19T02:07:59,Farm Fresh,Other,14262.17,Liters,Passed,Consistent quality as previous shipments.
241,2024-08-27T04:09:26,Mountain Dairy,Other,6037.4,Liters,Failed,Quality matches the standards set by the company.
242,2024-04-28T08:28:08,Sunshine Dairy,Skim Milk,9426.32,Liters,Passed,"High quality milk, no bacteria detected."
243,2024-07-17T08:25:58,Hillside Dairy,Skim Milk,12524.94,Liters,Passed,"No anomalies, quality is consistent."
